date,symbol,side,posi_balance,posi_vwap,price,market_value
2022-10-25 16:00:00,SHSE.515400,多,75100,0.6731957232904497,0.665,49941.5
2022-10-26 16:00:00,SHSE.515400,多,107900,0.6813438223179454,0.7,75530.0
2022-10-27 16:00:00,SHSE.515400,多,107900,0.6813438223179454,0.719,77580.09999999999
2022-10-28 16:00:00,SHSE.515400,多,140900,0.6887579731183157,0.707,99616.29999999999
2022-10-31 16:00:00,SHSE.515400,多,139100,0.6887579731183157,0.747,103907.7
2022-11-01 16:00:00,SHSE.515400,多,139100,0.6887579731183157,0.753,104742.3
2022-11-02 16:00:00,SHSE.515400,多,104300,0.6887579731183157,0.754,78642.2
2022-11-03 16:00:00,SHSE.515400,多,146300,0.7008848725672824,0.735,107530.5
2022-11-04 16:00:00,SHSE.515400,多,146300,0.7008848725672824,0.747,109286.1
2022-11-07 16:00:00,SHSE.515400,多,182800,0.7084953920930391,0.745,136186.0
2022-11-08 16:00:00,SHSE.515400,多,217500,0.7143193463911266,0.749,162907.5
2022-11-09 16:00:00,SHSE.515400,多,216600,0.7143193463911266,0.746,161583.6
2022-11-10 16:00:00,SHSE.515400,多,216600,0.7143193463911266,0.749,162233.4
2022-11-11 16:00:00,SHSE.515400,多,218700,0.7147099699053701,0.755,165118.5
2022-11-14 16:00:00,SHSE.515400,多,180200,0.7147099699053701,0.757,136411.4
2022-11-15 16:00:00,SHSE.515400,多,180200,0.7147099699053701,0.775,139655.0
2022-11-16 16:00:00,SHSE.515400,多,180200,0.7147099699053701,0.773,139294.6
2022-11-17 16:00:00,SHSE.515400,多,178600,0.7147099699053701,0.793,141629.80000000002
2022-11-18 16:00:00,SHSE.515400,多,143900,0.7147099699053701,0.778,111954.2
2022-11-21 16:00:00,SHSE.515400,多,107400,0.7147099699053701,0.773,83020.2
2022-11-22 16:00:00,SHSE.515400,多,107400,0.7147099699053701,0.763,81946.2
2022-11-23 16:00:00,SHSE.515400,多,75500,0.7147099699053701,0.753,56851.5
2023-01-30 16:00:00,SHSE.515400,多,34200,0.859000027179718,0.859,29377.8
2023-01-31 16:00:00,SHSE.515400,多,69800,0.8498195080155971,0.842,58771.6
2023-02-01 16:00:00,SHSE.515400,多,69800,0.8498195080155971,0.865,60377.0
2023-02-02 16:00:00,SHSE.515400,多,69800,0.8498195080155971,0.859,59958.2
2023-02-03 16:00:00,SHSE.515400,多,69800,0.8498195080155971,0.873,60935.4
2023-02-06 16:00:00,SHSE.515400,多,102100,0.8606327303359604,0.882,90052.2
2023-02-07 16:00:00,SHSE.515400,多,102100,0.8606327303359604,0.877,89541.7
2023-02-08 16:00:00,SHSE.515400,多,67900,0.8606327303359604,0.868,58937.2
2023-02-09 16:00:00,SHSE.515400,多,67900,0.8606327303359604,0.891,60498.9
2023-02-10 16:00:00,SHSE.515400,多,67900,0.8606327303359604,0.879,59684.1
2023-02-13 16:00:00,SHSE.515400,多,67900,0.8606327303359604,0.896,60838.4
